Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Milla Jovovich,44.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/01/Milla-Jovovich.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Professional School of Actors in California,40,Graduate,Milla,female
Ellen Pompeo,50.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/04/Ellen-Pompeo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Everett High School,40,high school,Ellen,female
Jennifer Garner,48.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/05/Jennifer_Garner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Denison University,40,Post Graduate,Jennifer,female
Zsa Zsa Gabor,104.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/08/Zsa-Zsa-Gabor-profile.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Madame Subilia,40,Graduate,Zsa,others
Rene Russo,67.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Rene-Russo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Burroughs High School,40,high school,Rene,male
Elizabeth Montgomery,88.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/10/em1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,American Academy of Dramatic Arts,40,Graduate,Elizabeth,female
Michelle Yeoh,58.0,Others,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/my1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Royal Academy of Dance,40,Graduate,Michelle,female
Edie Falco,57.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/01/Edie-Falco.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,State University of New York at Purchase,40,Post Graduate,Edie,female
Geena Davis,65.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Geena-Davis.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Boston University, New England College",38,Graduate,Geena,female
Kate Hudson,41.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kate-Hudson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Santa Monica College Prep School,38,Graduate,Kate,female
Kim Basinger,67.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/images146.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Clarke Central High School,36,high school,Kim,female
Marlo Thomas,83.0,Others,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Marlo-Thomas.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,35,high school,Marlo,female
Merv Griffin,95.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/Merv-Griffin.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,San Mateo High School,1000.0,high school,Merv,others
Shahrukh Khan,55.0,India,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/SK.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"BEc/Hansraj College, Jamia Millia Islamia",700,Graduate,Shahrukh,others
Tom Cruise,58.0,United states,actors,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/11/shutterstock_104835566.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Franciscan Seminary, Henry Munro Middle School, Robert Hopkins Public School ",550,Graduate,Tom,male
George Clooney,59.0,United states,actors,https://static3.therichestimages.com/wordpress/wp-content/uploads/2019/05/George-Clooney.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Northern Kentucky University,500,Post Graduate,George,male
Amitabh Bachchan,77.0,India,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/01/Amitabh-Bachchan.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Sherwood College, Kirori Mal College, Delhi University",425,Graduate,Amitabh,male
Mel Gibson,65.0,Australia,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/mel_gibson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,St Leo's Catholic College,425,Graduate,Mel,female
Will Smith,52.0,United states,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/02/UntitledThings-That-Make-Will-Smiths-42-Million-Home-Fit-For-A-Fresh-Prince.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Overbrook High School of Philadelphia,420,high school,Will,male
Adam Sandler,54.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Adam-Sandler-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,New York University,420,Post Graduate,Adam,male
Jack Nicholson,83.0,United states,actors,https://static2.therichestimages.com/wordpress/wp-content/uploads/jn75.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Actors Studio,400,Graduate,Jack,male
Sylvester Stallone,74.0,United states,actors,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/06/sylvester-stallone.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Miami,400,Post Graduate,Sylvester,male
