Name,age,country,category,image,marital_status,Education,net_worth,Degree
Jameer Nelson,37,United states,basketball-players,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/07/Jameer-Nelson.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Imani Tillery),Saint Joseph's University,$44 Million,Graduate
Derek Fisher,46,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/derek-fisher2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Candace Fisher),University of Arkansas at Little Rock ,$40 Million,Graduate
Anfernee Penny Hardaway,49,United states,basketball-players,https://static2.therichestimages.com/wordpress/wp-content/uploads/Anfernee-Penny-Hardaway2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Mary McDonnell),University of Memphis,$40 Million,Graduate
Jason Terry,43,United states,basketball-players,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/10/Jason-Terry.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Johnyika Terry),University of Arizona,$40 Million,Graduate
Rudy Gay,34,United states,basketball-players,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/09/Rudy-Gay.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Ecko Wray),"University of Connecticut, Archbishop Spalding High School, Eastern Technical High School",$40 Million,Graduate
Jacqueline Mars,80,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/09/jacqueline-mars_forbes_2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Hank Vogel),Bryn Mawr College,$41.6 Billion,Graduate
Maria Franca Fissolo,N/A,Italy,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/04/Maria-Franca-Fissolo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Michele Ferrero),,$33.4 Billion,
Maria-Elisabeth and Georg Schaeffler,79,Germany,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/maria-elisabeth-georg-schaeffler_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widow (Georg Schaeffler),,$26.1 Billion,
Yang Huiyan,39,China,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Yang-Huiyan.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Chen Chong),Ohio State University,$23.6 Billion,Graduate
Laurene Powell Jobs,57,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Laurene-Powell-Jobs1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widow (Steve Jobs),"University of Pennsylvania (B.A.), Wharton School of the University of Pennsylvania (B.S.), and Stanford Graduate School of Business (M.B.A.)",$21.2 Billion,Graduate
